date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:50	16363/16363	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jun%202021%2006:31:50%20GMT	https://www.kickstarter.com/discover/cdn.siftscience.com/s.js	C:/My%20Websites/KS_Browsing_Page/www.kickstarter.com/discover/cdn.siftscience.com/s.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:50	372169/372169	---M-Z	200	added ('OK')	text/javascript	etag:W/%22254680e6382406b16d4ea5fcb2c43879%22	https://www.kickstarter.com/locale/en.js	C:/My%20Websites/KS_Browsing_Page/www.kickstarter.com/locale/en.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:50	159531/159531	---M-Z	200	added ('OK')	application/javascript	etag:%227adef70e188ccfcc1586d36c5e4c1b8b%22	https://a.kickstarter.com/assets/modules/recommendations.b0e17f0ec8b85bbfd3c3bb4e5a6bb8ae1f2e31e57615c0f5ac09b38029498e47.js	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/modules/recommendations.b0e17f0ec8b85bbfd3c3bb4e5a6bb8ae1f2e31e57615c0f5ac09b38029498e47.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:50	49153/49153	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2009%20Apr%202021%2023:59:54%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Websites/KS_Browsing_Page/www.google-analytics.com/analytics.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:51	97358/97358	---M-Z	200	added ('OK')	application/javascript	etag:%229eb59e5602fef4b3ebf6090856ff21db+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Websites/KS_Browsing_Page/platform.twitter.com/widgets.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:51	191120/191120	---M-Z	200	added ('OK')	application/javascript	etag:%22dc4df8aa39da502a5e24953f2add5e4c%22	https://a.kickstarter.com/assets/modules/core.3867fdf10eab5d01020cc31ee90ffe18b986cdec3427de1d69e9d2fbda81b298.js	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/modules/core.3867fdf10eab5d01020cc31ee90ffe18b986cdec3427de1d69e9d2fbda81b298.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:51	1153270/1153270	---M-Z	200	added ('OK')	application/javascript	etag:%2226f149a3bec94c0a25c0c2b35f5cf4e3%22	https://a.kickstarter.com/assets/modules/base.002f65c1a2ec4357496f965078c11f819a51c84aff01104175312c041e6d4ed0.js	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/modules/base.002f65c1a2ec4357496f965078c11f819a51c84aff01104175312c041e6d4ed0.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:52	2773/2773	---M-Z	200	added ('OK')	application/javascript	etag:%2209c5a3ce8e5721b38b6416d36d1e948c%22	https://a.kickstarter.com/assets/modules/runtime.d5070c998deb9f6f7af4e98282d432c7914e185e0e21ea1c2734db724a66624e.js	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/modules/runtime.d5070c998deb9f6f7af4e98282d432c7914e185e0e21ea1c2734db724a66624e.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:52	1746094/1746094	---M-Z	200	added ('OK')	application/javascript	etag:%220ea4d3f4879463b0270ab8e8974e392f%22	https://a.kickstarter.com/assets/modules/vendor.d0056220cd73d00a844f44b6c9c616acf606cd401848dd8b2dfecaf406a989b0.js	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/modules/vendor.d0056220cd73d00a844f44b6c9c616acf606cd401848dd8b2dfecaf406a989b0.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:52	271379/271379	---M-Z	200	added ('OK')	application/javascript	etag:%22fd1bd737260525e782466cd87d4fd43c%22	https://a.kickstarter.com/assets/modules/discovery-page.83af9799f8e996d99a1dbd4dd8ccc1c4e86be9fc29e1241687318fc83de8ba7a.js	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/modules/discovery-page.83af9799f8e996d99a1dbd4dd8ccc1c4e86be9fc29e1241687318fc83de8ba7a.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:53	99/99	---MC-	302	error ('Found')	text/html	date:Tue,%2008%20Jun%202021%2006:31:53%20GMT	https://www.kickstarter.com/fb/autologin.js	C:/My%20Websites/KS_Browsing_Page/www.kickstarter.com/fb/autologin.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:53	99/99	---MC-	302	error ('Found')	text/html	date:Tue,%2008%20Jun%202021%2006:31:53%20GMT	https://www.kickstarter.com/fb/refresh.js	C:/My%20Websites/KS_Browsing_Page/www.kickstarter.com/fb/refresh.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:54	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e4778a5517895317c7fde58b3641ab2a%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Websites/KS_Browsing_Page/connect.facebook.net/en_US/sdk.js	(from https://www.kickstarter.com/discover/advanced?sort=magic&seed=2705223&page=1)
14:31:54	271/271	---M--	200	added ('OK')	image/png	etag:%22d5588e2970e48fd41245789f41724df2%22	https://a.kickstarter.com/assets/icons/search_icon-65e5b1b09402f2642bde1b545f4fabbea06550c452d1a80083db7855b2b8db84.png	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/icons/search_icon-65e5b1b09402f2642bde1b545f4fabbea06550c452d1a80083db7855b2b8db84.png	(from https://a.kickstarter.com/assets/packages/base-39d61b7bd5055c18359e309c04efa298a0a0ed03553a218e65a17f8369303a8c.css)
14:31:54	2825/2825	---M--	200	added ('OK')	image/gif	etag:%229643e2633c59d728d78b58f465f2fb9c%22	https://a.kickstarter.com/assets/icons/loading-small-a25feb0222a994468bf211976c47036a664ab4d3280c072d19a21d8d8eae8434.gif	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/icons/loading-small-a25feb0222a994468bf211976c47036a664ab4d3280c072d19a21d8d8eae8434.gif	(from https://a.kickstarter.com/assets/packages/base-39d61b7bd5055c18359e309c04efa298a0a0ed03553a218e65a17f8369303a8c.css)
14:31:55	102/102	---M--	200	added ('OK')	image/png	etag:%22a8fd7088ce7a941bf53e80bb2228c44a%22	https://a.kickstarter.com/assets/library/forms/select-large-error-bg-6cc01c2cde985240e12e4485dce748b757a486a0301a06975f88de0c2731c8ff.png	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/library/forms/select-large-error-bg-6cc01c2cde985240e12e4485dce748b757a486a0301a06975f88de0c2731c8ff.png	(from https://a.kickstarter.com/assets/packages/base-39d61b7bd5055c18359e309c04efa298a0a0ed03553a218e65a17f8369303a8c.css)
14:31:55	98/98	---M--	200	added ('OK')	image/png	etag:%225459ab94f38e8a203c83d4c41c57c80f%22	https://a.kickstarter.com/assets/library/forms/select-large-bg-db8faab4f3d91b7f59986545e7169bc075c544b17a5212c3b66dde79c3748690.png	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/library/forms/select-large-bg-db8faab4f3d91b7f59986545e7169bc075c544b17a5212c3b66dde79c3748690.png	(from https://a.kickstarter.com/assets/packages/base-39d61b7bd5055c18359e309c04efa298a0a0ed03553a218e65a17f8369303a8c.css)
14:31:55	102/102	---M--	200	added ('OK')	image/png	etag:%22081af09ea404c3b75b17ed8adc8c2f8a%22	https://a.kickstarter.com/assets/library/forms/select-large-focus-bg-3a82570ca17ee10bf4e96d0a93e591f4fa00a3bad3ab87450ebcf9723eb4f0b4.png	C:/My%20Websites/KS_Browsing_Page/a.kickstarter.com/assets/library/forms/select-large-focus-bg-3a82570ca17ee10bf4e96d0a93e591f4fa00a3bad3ab87450ebcf9723eb4f0b4.png	(from https://a.kickstarter.com/assets/packages/base-39d61b7bd5055c18359e309c04efa298a0a0ed03553a218e65a17f8369303a8c.css)
